idx,rsmi,psmi,ea,dh
0,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])/[C:2](=[N:3]\[H:9])[N:6]1[N:5]=[O:4],77.6892865680395,45.5320734228033
1,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2](=[N:3][O-:4])[N+:6]#[N:5])([H:7])([H:8])[H:9],45.36770964254660,19.774235474077
2,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N-:3][O+:4]=[N:5][N:6]1[H:9])([H:7])[H:8],84.71303516131200,54.5841969266199
3,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[O:4]=[N+:5]=[N-:6],24.0359817107928,-15.0119969323445
4,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N:3]([H:8])[O:4][N:5]=[N:6]1)([H:7])[H:9],77.6798905175779,34.3312050399503
5,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],67.77916604241550,21.2524019730233
6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,60.2678528092413,20.5413462297786
7,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],64.8573007140164,8.08461833369281
8,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O:2])([H:6])[H:7].[C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:8])([H:9])[H:10],79.7066675180825,2.77460653331586
9,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:4]([O:5][H:13])([H:11])[H:12])([H:6])([H:7])[H:8].[C:3]([H:9])[H:10],88.07835354281610,82.5502563427023
10,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3]([C:4]([H:8])([H:11])[H:12])([H:9])[H:10])([O:5][H:13])([H:6])[H:7],96.75440183241840,-7.590589535925180
11,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],58.747407652550700,-8.821995239119210
12,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([H:6])[H:7].[O:2]([C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])[H:8],85.626360065718,84.9794549772352
13,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[N:3](=[N+:4]=[N-:5])[H:6].[O+:1]#[C-:2],53.326161667307,9.73957001845962
14,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],47.72637600704580,14.7721327408461
15,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[N:4]#[N:5].[O:1]=[C:2]=[N:3][H:6],28.1117866881611,-52.2309505269707
16,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[N-:3]=[N+:4]=[N:5].[O:1]=[C:2][H:6],73.9883878420279,72.5462434535237
17,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:8])=[C:2]([H:9])[C:3]([H:10])([H:11])[C@@:4]1([C:5]([C:6]([H:7])([H:15])[H:16])([H:13])[H:14])[H:12],80.9543684447695,8.282419711899050
18,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],74.0781768729699,73.20459593546340
19,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],56.0355432884059,1.1607783507461
20,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,69.3372021054987,48.9236611445868
21,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])=[C:2]([H:9])[C:3]([H:10])([H:11])[C:4]1([H:8])[H:12].[C:5](=[C:6]([H:15])[H:16])([H:13])[H:14],102.65695708845200,30.1694108824015
22,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],98.2420215450115,16.8209257823784
23,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]([C@:4]1([H:12])[C:3]([H:11])=[C:2]([H:9])[C:6]([H:15])([H:16])[C:5]1([H:13])[H:14])([H:7])([H:8])[H:10],121.56645911625800,-15.5913703828465
24,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2]([H:9])([H:11])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1([C:3][H:10])[H:12],75.7464035441174,59.1606190175304
25,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2]([C:6]([C:5]([C:4][H:12])([H:13])[H:14])([H:15])[H:16])([H:9])[C:3]1([H:10])[H:11],115.75429801277400,82.7710672745185
26,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],79.71279521384960,63.44713187002170
27,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N+:3]=[C-:4][N:5]([H:8])[N:6]1[H:9])[H:7],75.96308791936580,50.56405020929
28,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],46.649111519312800,1.00424040293527
29,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2](=[N:3]/[C-:4]([N+:5]#[N:6])[H:8])[H:9])[H:7],63.556280031409300,31.724652472467100
30,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],83.36707866514870,61.802178732384200
31,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],69.41135011657210,6.235610708739740
32,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],36.885403096718,-11.579763628217300
33,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:4](#[N:5])[H:8].[O:1]([N:3]=[C:2]=[N:6][H:9])[H:7],102.294488495722,63.9460930761833
34,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]#[N+:3]/[C:4](=[N:5]\[N:6][H:9])[H:8])[H:7],79.3995221162145,70.0152552466084
35,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2][N:6]([N:5]1[N:3]=[C:4]1[H:8])[H:9])[H:7],125.671615183421,107.59948784913
36,[O:1]([c+:2]1[n-:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],97.63184184365910,95.8612407849382
