idx,rsmi,psmi,ea,dh
1,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[N:4]([H:11])[C:5]1=[O:6])[H:7],[C:3](=[N:4][H:11])([H:9])[H:10].[O:1]([C:2](=[C:5]=[O:6])[H:8])[H:7],48.69912861,36.98345247
2,[O:1]([C@@:2]1([H:8])[C:3]([H:9])([H:10])[N:4]([H:11])[C:5]1=[O:6])[H:7],[C+:2]1=[C:5]([O-:6])[N:4]([H:11])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:8],74.13916601,71.43392062
3,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([N+:6]#[C-:5])[H:11])([H:7])([H:8])[H:9],55.81018287,18.17860211
4,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])=[C:5]=[N:6]1)([H:7])([H:8])[H:9],87.34648833,49.30437791
5,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([O:3][C:4](=[C:5]=[N:6][H:7])[H:11])[H:10])([H:8])[H:9],51.59561112,23.82019832
6,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]1=[O+:3][C@:4]1([C-:5]=[N:6][H:10])[H:11])([H:7])([H:8])[H:9],123.0413918,71.73050443
7,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]([O:3][C:5]#[N:6])([C:4][H:11])[H:10])([H:7])([H:8])[H:9],89.76967668,84.95175065
8,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O+:3]=[C:4]=[C:5]=[N-:6])([H:10])[H:11])([H:7])([H:8])[H:9],70.83203053,34.01852709
9,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O+:3][C:4](=[C:5]=[N-:6])[H:11])[H:10])([H:7])([H:8])[H:9],40.32984987,24.59789484
10,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:8])([H:9])[C:2]([H:7])([H:10])[O:3][C:4]([H:11])=[C:5]=[N:6]1,81.90569723,37.81787428
11,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O:3][N:6]=[C:5]=[C:4]1[H:11])([H:7])([H:8])[H:9],94.28428302,74.6602815
12,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]([O:3][H:11])([C+:4]=[C:5]=[N-:6])[H:10])([H:7])([H:8])[H:9],61.20865635,54.80530216
13,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:4](\[C:5]#[N+:6][O-:3])[H:11])[H:10])([H:7])([H:8])[H:9],83.21484842,18.46788112
14,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]([O+:3]=[C-:4][H:11])([C:5]#[N:6])[H:10])([H:7])([H:8])[H:9],61.27410955,46.17366285
15,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C-:2]=[O+:3][C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9],73.1580262,40.22947858
16,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([O:3][C@:4]([C:2][H:10])([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],104.5883913,78.68880658
17,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9],63.82937468,-28.8456999
18,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O:3][C:4]1=[C:5]=[N:6][H:11])([H:7])([H:8])[H:9],102.2273728,32.71233622
19,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2][C@@:4]([O:3][H:10])([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],67.52962043,65.27762756
20,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:5]([C:4](=[O:3])[H:11])=[N:6]1)([H:7])([H:8])[H:9],61.17472176,15.08319255
21,[C:1]([C@@:2]1([H:10])[O:3][C@:4]1([C:5]#[N:6])[H:11])([H:7])([H:8])[H:9],[C-:2]1=[O+:3][C@:4]1([C:5]#[N:6])[H:11].[C:1]([H:7])([H:8])([H:9])[H:10],81.07375853,50.65293184
22,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]=[C:4]([O:5][H:9])[N:6]([H:10])[H:11])([H:7])[H:8],47.4628381,27.64227947
23,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]#[C:3]/[C:4]([O:5][H:10])=[N:6]\[H:11])([H:7])([H:8])[H:9],40.11020562,14.34436192
24,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]#[C:3][H:11])([H:7])([H:8])[H:9].[C:4](=[O:5])=[N:6][H:10],55.14717914,9.068970387
25,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([C+:3]=[C:4]([O-:5])[N:6]([H:10])[H:11])[H:9])([H:7])[H:8],66.33214601,44.85433675
26,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3]=[C:4]=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],57.63030003,-2.47328089
27,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]#[C:3][O+:5]=[C-:4][N:6]([H:10])[H:11])([H:7])([H:8])[H:9],87.51734428,62.05865306
28,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]1[C:4](=[O:5])[N:6]1[H:11])([H:7])[H:8].[H:9][H:10],88.94788128,56.93002231
29,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]([C:4](=[O:5])[N:6]([H:10])[H:11])[H:9])([H:7])[H:8],66.41091767,-4.281135949
30,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3])[C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],49.52040474,42.41268549
31,[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]=[C:4]=[O:5])([H:7])[H:8].[N:6]([H:9])([H:10])[H:11],61.13295058,29.86578897
32,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@@:6]12[H:16])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C@@:3]([C:6][H:16])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15])([H:7])([H:8])[H:9],116.5504658,60.80176359
33,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@@:6]12[H:16])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3](=[C:4]([H:12])[H:13])[H:11])([C:6](=[C:5]([H:14])[H:15])[H:16])[H:10])([H:7])([H:8])[H:9],71.44893028,-13.29455828
34,[C:1]([C@@:2]1([H:10])[C@@:3]2([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@@:6]12[H:16])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3][C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C:6]1([H:11])[H:16])([H:7])([H:8])[H:9],60.80800083,36.77408391
